price,mileage,power,make_model,date,fuel,gear,offer_type
8000,55500,155.0,Ducati Multistrada 1200,08/2010,Gasoline,Manual,Used
14500,14000,125.0,BMW R 1200 RT,03/2016,Gasoline,Manual,Used
10500,14000,140.0,MV Agusta Dragster,07/2015,Gasoline,Manual,Used
1200,1,15.0,Piaggio Zip SP,09/2012,Two Stroke Gasoline,Manual,Used
7000,9116,126.0,Triumph Tiger 800,06/2014,Gasoline,Manual,Used
11500,17500,173.0,KTM 1290 Super Duke R,07/2014,Gasoline,Manual,Used
31600,850,106.0,Harley-Davidson,04/2020,Electric,Automatic,Demonstration
11990,610,206.15759843345688,Suzuki Katana 1000,08/2019,Gasoline,Manual,Used
2990,15880,206.15759843345688,Honda,06/2014,Gasoline,Manual,Used
12999,39000,79.0,Harley-Davidson Fat Bob,07/2014,Gasoline,Manual,Used
6250,17000,106.0,Yamaha XT 1200,05/2010,Gasoline,Manual,Used
9999,0,206.15759843345688,Kawasaki W 800,01/2021,Gasoline,Manual,New
12890,690,95.0,Honda CRF 1000,02/2020,Gasoline,Automatic,Used
18000,25000,125.0,BMW R 1200 GS Adventure,05/2018,Gasoline,Manual,Used
8500,75000,73.0,Kawasaki VN 1700,08/2011,Gasoline,Manual,Used
1590,2352,10.0,Kymco Super 8,04/2013,Gasoline,Automatic,Used
14790,14300,125.0,BMW R 1250 GS,04/2017,Gasoline,Manual,Used
6500,7100,61.0,Kawasaki Vulcan S,04/2016,Gasoline,Manual,Used
17000,20000,121.0,Harley-Davidson VRSC V-Rod,04/2005,Gasoline,Manual,Used
14500,17800,84.0,Harley-Davidson Road King,08/2011,Gasoline,Manual,Used
9000,114000,71.0,Harley-Davidson Road King,01/2006,Gasoline,Manual,Used
24990,2200,84.0,Indian Chieftain,04/2020,Gasoline,Manual,Used
1500,90000,77.0,Honda CBF 600,06/2009,Gasoline,Manual,Used
6000,17300,128.0,Kawasaki Ninja ZX-6R,03/2009,Gasoline,Manual,Used
11999,27000,193.0,BMW S 1000 RR,12/2013,Gasoline,Manual,Used
1000,650,11.0,Lifan King 125,03/2011,Gasoline,Manual,Used
2200,4400,12.0,Yamaha NMAX,07/2018,Gasoline,Manual,Used
7199,1219,114.0,Suzuki GSX-S 750,05/2018,Gasoline,Manual,Used
13500,19000,201.0,Suzuki GSX-R 1000,06/2019,Gasoline,Manual,Used
1000,31000,15.0,Honda SH 125,02/2012,Gasoline,Automatic,Used
10658,7830,125.0,Suzuki VZR 1800,11/2009,Gasoline,Manual,Used
19900,4320,136.0,Can Am Maverick,06/2016,Gasoline,Automatic,Used
10500,2000,120.0,Kawasaki Versys 1000,09/2018,Gasoline,Manual,Used
7400,9000,69.0,Kawasaki Versys 650,05/2018,Gasoline,Manual,Used
11250,5206,110.0,BMW R nineT,06/2017,Gasoline,Manual,Used
1890,13000,206.15759843345688,Suzuki Burgman 200,07/2009,Gasoline,Manual,Used
11989,11848,137.0,Ducati Monster 1200,04/2014,Gasoline,Manual,Used
12900,8323,110.0,BMW R nineT,12/2017,Gasoline,Manual,Used
9000,49100,56.0,Harley-Davidson FXD,03/1995,Gasoline,Manual,Used
7499,15310,116.0,Triumph Tiger 1050,06/2012,Gasoline,Manual,Used
28240,0,206.15759843345688,Ducati,01/2021,Gasoline,Manual,New
